nohup: ignoring input
Building prefix dict from the default dictionary ...
Loading model from cache /tmp/jieba.cache
Loading model cost 0.782 seconds.
Prefix dict has been built successfully.
TextClassifyModel(
  (token_emb_layer): TokenEmbeddingModule(
    (emb): Embedding(4707, 128)
  )
  (seq_feature_extract_layer): LSTMSeqFeatureExtractModule(
    (rnn_layer): LSTM(128, 256, num_layers=2, batch_first=True, bidirectional=True)
  )
  (classify_decision_layer): MLPModule(
    (layers): Sequential(
      (0): FCModule(
        (linear): Linear(in_features=512, out_features=256, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (1): FCModule(
        (linear): Linear(in_features=256, out_features=128, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (2): FCModule(
        (linear): Linear(in_features=128, out_features=12, bias=True)
        (act): Identity()
        (dropout): Identity()
      )
    )
  )
)
Epoch:0 Train Batch:0  Loss:2.499 Accuracy:0.062
Epoch:0 Train Batch:10  Loss:2.421 Accuracy:0.188
Epoch:0 Train Batch:20  Loss:2.253 Accuracy:0.188
Epoch:0 Train Batch:30  Loss:2.252 Accuracy:0.250
Epoch:0 Train Batch:40  Loss:2.189 Accuracy:0.250
Epoch:0 Train Batch:50  Loss:1.941 Accuracy:0.375
Epoch:0 Train Batch:60  Loss:1.894 Accuracy:0.250
Epoch:0 Train Batch:70  Loss:1.635 Accuracy:0.375
Epoch:0 Train Batch:80  Loss:1.973 Accuracy:0.250
Epoch:0 Train Batch:90  Loss:2.334 Accuracy:0.375
Epoch:0 Train Batch:100  Loss:1.826 Accuracy:0.312
Epoch:0 Train Batch:110  Loss:1.528 Accuracy:0.250
Epoch:0 Train Batch:120  Loss:1.387 Accuracy:0.375
Epoch:0 Train Batch:130  Loss:1.275 Accuracy:0.625
Epoch:0 Train Batch:140  Loss:1.944 Accuracy:0.438
Epoch:0 Train Batch:150  Loss:1.811 Accuracy:0.312
Epoch:0 Train Batch:160  Loss:1.358 Accuracy:0.375
Epoch:0 Train Batch:170  Loss:1.176 Accuracy:0.688
Epoch:0 Train Batch:180  Loss:0.988 Accuracy:0.688
Epoch:0 Train Batch:190  Loss:0.829 Accuracy:0.812
Epoch:0 Train Batch:200  Loss:0.727 Accuracy:0.750
Epoch:0 Train Batch:210  Loss:1.191 Accuracy:0.625
Epoch:0 Train Batch:220  Loss:0.966 Accuracy:0.562
Epoch:0 Train Batch:230  Loss:1.157 Accuracy:0.625
Epoch:0 Train Batch:240  Loss:1.053 Accuracy:0.625
Epoch:0 Train Batch:250  Loss:0.943 Accuracy:0.688
Epoch:0 Train Batch:260  Loss:0.310 Accuracy:0.875
Epoch:0 Train Batch:270  Loss:0.697 Accuracy:0.750
Epoch:0 Train Batch:280  Loss:0.418 Accuracy:0.875
Epoch:0 Train Batch:290  Loss:0.676 Accuracy:0.750
Epoch:0 Train Batch:300  Loss:0.534 Accuracy:0.875
Epoch:0 Train Batch:310  Loss:0.886 Accuracy:0.750
Epoch:0 Train Batch:320  Loss:0.826 Accuracy:0.812
Epoch:0 Train Batch:330  Loss:0.589 Accuracy:0.750
Epoch:0 Train Batch:340  Loss:0.692 Accuracy:0.750
Epoch:0 Train Batch:350  Loss:0.353 Accuracy:0.875
Epoch:0 Train Batch:360  Loss:1.372 Accuracy:0.688
Epoch:0 Train Batch:370  Loss:0.789 Accuracy:0.750
Epoch:0 Train Batch:380  Loss:1.002 Accuracy:0.812
Epoch:0 Train Batch:390  Loss:0.668 Accuracy:0.688
Epoch:0 Train Batch:400  Loss:0.974 Accuracy:0.750
Epoch:0 Train Batch:410  Loss:0.908 Accuracy:0.750
Epoch:0 Train Batch:420  Loss:0.805 Accuracy:0.750
Epoch:0 Train Batch:430  Loss:0.956 Accuracy:0.750
Epoch:0 Train Batch:440  Loss:0.656 Accuracy:0.750
Epoch:0 Train Batch:450  Loss:1.363 Accuracy:0.562
Epoch:0 Train Batch:460  Loss:0.703 Accuracy:0.812
Epoch:0 Train Batch:470  Loss:0.343 Accuracy:0.938
Epoch:0 Train Batch:480  Loss:0.392 Accuracy:0.938
Epoch:0 Train Batch:490  Loss:0.714 Accuracy:0.812
Epoch:0 Train Batch:500  Loss:0.549 Accuracy:0.750
Epoch:0 Train Batch:510  Loss:0.431 Accuracy:0.875
Epoch:0 Train Batch:520  Loss:0.483 Accuracy:0.812
Epoch:0 Train Batch:530  Loss:0.641 Accuracy:0.750
Epoch:0 Train Batch:540  Loss:1.457 Accuracy:0.500
Epoch:0 Train Batch:550  Loss:0.484 Accuracy:0.812
Epoch:0 Train Batch:560  Loss:0.978 Accuracy:0.688
Epoch:0 Train Batch:570  Loss:0.429 Accuracy:0.875
Epoch:0 Train Batch:580  Loss:0.585 Accuracy:0.750
Epoch:0 Train Batch:590  Loss:0.753 Accuracy:0.750
Epoch:0 Train Batch:600  Loss:0.619 Accuracy:0.750
Epoch:0 Train Batch:610  Loss:0.096 Accuracy:1.000
Epoch:0 Train Batch:620  Loss:0.405 Accuracy:0.938
Epoch:0 Train Batch:630  Loss:0.556 Accuracy:0.812
Epoch:0 Train Batch:640  Loss:0.743 Accuracy:0.750
Epoch:0 Train Batch:650  Loss:0.816 Accuracy:0.812
Epoch:0 Train Batch:660  Loss:0.615 Accuracy:0.750
Epoch:0 Train Batch:670  Loss:0.668 Accuracy:0.750
Epoch:0 Train Batch:680  Loss:1.605 Accuracy:0.500
Epoch:0 Eval Batch:0  Loss:0.517 Accuracy:0.875
Epoch:0 Eval Batch:10  Loss:1.138 Accuracy:0.656
Epoch:0 Eval Batch:20  Loss:0.846 Accuracy:0.688
Epoch:0 Eval Batch:30  Loss:0.546 Accuracy:0.688
Epoch:1 Train Batch:690  Loss:0.191 Accuracy:0.938
Epoch:1 Train Batch:700  Loss:0.399 Accuracy:0.875
Epoch:1 Train Batch:710  Loss:0.943 Accuracy:0.750
Epoch:1 Train Batch:720  Loss:0.181 Accuracy:0.938
Epoch:1 Train Batch:730  Loss:0.184 Accuracy:1.000
Epoch:1 Train Batch:740  Loss:0.416 Accuracy:0.812
Epoch:1 Train Batch:750  Loss:0.864 Accuracy:0.688
Epoch:1 Train Batch:760  Loss:0.477 Accuracy:0.938
Epoch:1 Train Batch:770  Loss:0.355 Accuracy:0.875
Epoch:1 Train Batch:780  Loss:0.345 Accuracy:0.875
Epoch:1 Train Batch:790  Loss:1.283 Accuracy:0.562
Epoch:1 Train Batch:800  Loss:0.490 Accuracy:0.875
Epoch:1 Train Batch:810  Loss:0.318 Accuracy:0.875
Epoch:1 Train Batch:820  Loss:0.327 Accuracy:0.938
Epoch:1 Train Batch:830  Loss:0.567 Accuracy:0.875
Epoch:1 Train Batch:840  Loss:0.328 Accuracy:0.875
Epoch:1 Train Batch:850  Loss:0.256 Accuracy:0.938
Epoch:1 Train Batch:860  Loss:0.281 Accuracy:0.938
Epoch:1 Train Batch:870  Loss:0.170 Accuracy:0.938
Epoch:1 Train Batch:880  Loss:0.922 Accuracy:0.812
Epoch:1 Train Batch:890  Loss:0.558 Accuracy:0.812
Epoch:1 Train Batch:900  Loss:0.793 Accuracy:0.812
Epoch:1 Train Batch:910  Loss:0.567 Accuracy:0.875
Epoch:1 Train Batch:920  Loss:0.442 Accuracy:0.875
Epoch:1 Train Batch:930  Loss:0.329 Accuracy:0.875
Epoch:1 Train Batch:940  Loss:0.473 Accuracy:0.875
Epoch:1 Train Batch:950  Loss:0.487 Accuracy:0.875
Epoch:1 Train Batch:960  Loss:0.514 Accuracy:0.875
Epoch:1 Train Batch:970  Loss:0.363 Accuracy:0.938
Epoch:1 Train Batch:980  Loss:0.886 Accuracy:0.750
Epoch:1 Train Batch:990  Loss:0.224 Accuracy:0.938
Epoch:1 Train Batch:1000  Loss:0.433 Accuracy:0.812
Epoch:1 Train Batch:1010  Loss:0.639 Accuracy:0.812
Epoch:1 Train Batch:1020  Loss:0.353 Accuracy:0.875
Epoch:1 Train Batch:1030  Loss:0.201 Accuracy:0.938
Epoch:1 Train Batch:1040  Loss:0.131 Accuracy:1.000
Epoch:1 Train Batch:1050  Loss:0.053 Accuracy:1.000
Epoch:1 Train Batch:1060  Loss:0.551 Accuracy:0.812
Epoch:1 Train Batch:1070  Loss:0.173 Accuracy:0.938
Epoch:1 Train Batch:1080  Loss:0.846 Accuracy:0.688
Epoch:1 Train Batch:1090  Loss:0.587 Accuracy:0.688
Epoch:1 Train Batch:1100  Loss:0.069 Accuracy:1.000
Epoch:1 Train Batch:1110  Loss:0.332 Accuracy:0.875
Epoch:1 Train Batch:1120  Loss:0.543 Accuracy:0.875
Epoch:1 Train Batch:1130  Loss:0.601 Accuracy:0.875
Epoch:1 Train Batch:1140  Loss:0.204 Accuracy:0.938
Epoch:1 Train Batch:1150  Loss:0.228 Accuracy:0.938
Epoch:1 Train Batch:1160  Loss:0.324 Accuracy:0.875
Epoch:1 Train Batch:1170  Loss:0.250 Accuracy:0.875
Epoch:1 Train Batch:1180  Loss:0.329 Accuracy:0.938
Epoch:1 Train Batch:1190  Loss:0.352 Accuracy:0.938
Epoch:1 Train Batch:1200  Loss:0.190 Accuracy:0.938
Epoch:1 Train Batch:1210  Loss:0.098 Accuracy:1.000
Epoch:1 Train Batch:1220  Loss:0.572 Accuracy:0.812
Epoch:1 Train Batch:1230  Loss:0.248 Accuracy:0.938
Epoch:1 Train Batch:1240  Loss:0.211 Accuracy:0.875
Epoch:1 Train Batch:1250  Loss:0.258 Accuracy:0.938
Epoch:1 Train Batch:1260  Loss:0.648 Accuracy:0.812
Epoch:1 Train Batch:1270  Loss:0.789 Accuracy:0.750
Epoch:1 Train Batch:1280  Loss:0.613 Accuracy:0.812
Epoch:1 Train Batch:1290  Loss:0.180 Accuracy:0.938
Epoch:1 Train Batch:1300  Loss:1.003 Accuracy:0.750
Epoch:1 Train Batch:1310  Loss:0.223 Accuracy:0.938
Epoch:1 Train Batch:1320  Loss:0.332 Accuracy:0.875
Epoch:1 Train Batch:1330  Loss:0.614 Accuracy:0.750
Epoch:1 Train Batch:1340  Loss:0.821 Accuracy:0.750
Epoch:1 Train Batch:1350  Loss:0.640 Accuracy:0.750
Epoch:1 Train Batch:1360  Loss:0.649 Accuracy:0.750
Epoch:1 Eval Batch:40  Loss:0.459 Accuracy:0.875
Epoch:1 Eval Batch:50  Loss:0.634 Accuracy:0.781
Epoch:1 Eval Batch:60  Loss:0.850 Accuracy:0.750
Epoch:1 Eval Batch:70  Loss:0.186 Accuracy:0.906
Epoch:2 Train Batch:1370  Loss:0.296 Accuracy:0.875
Epoch:2 Train Batch:1380  Loss:0.192 Accuracy:0.938
Epoch:2 Train Batch:1390  Loss:0.268 Accuracy:0.938
Epoch:2 Train Batch:1400  Loss:0.131 Accuracy:0.938
Epoch:2 Train Batch:1410  Loss:0.237 Accuracy:0.875
Epoch:2 Train Batch:1420  Loss:0.227 Accuracy:0.812
Epoch:2 Train Batch:1430  Loss:0.475 Accuracy:0.812
Epoch:2 Train Batch:1440  Loss:0.863 Accuracy:0.750
Epoch:2 Train Batch:1450  Loss:0.163 Accuracy:1.000
Epoch:2 Train Batch:1460  Loss:0.012 Accuracy:1.000
Epoch:2 Train Batch:1470  Loss:0.143 Accuracy:0.938
Epoch:2 Train Batch:1480  Loss:0.047 Accuracy:1.000
Epoch:2 Train Batch:1490  Loss:0.470 Accuracy:0.812
Epoch:2 Train Batch:1500  Loss:0.853 Accuracy:0.688
Epoch:2 Train Batch:1510  Loss:0.088 Accuracy:1.000
Epoch:2 Train Batch:1520  Loss:0.453 Accuracy:0.875
Epoch:2 Train Batch:1530  Loss:0.129 Accuracy:1.000
Epoch:2 Train Batch:1540  Loss:0.181 Accuracy:0.938
Epoch:2 Train Batch:1550  Loss:0.241 Accuracy:0.938
Epoch:2 Train Batch:1560  Loss:0.006 Accuracy:1.000
Epoch:2 Train Batch:1570  Loss:0.110 Accuracy:1.000
Epoch:2 Train Batch:1580  Loss:1.012 Accuracy:0.750
Epoch:2 Train Batch:1590  Loss:0.701 Accuracy:0.750
Epoch:2 Train Batch:1600  Loss:0.092 Accuracy:1.000
Epoch:2 Train Batch:1610  Loss:0.242 Accuracy:0.938
Epoch:2 Train Batch:1620  Loss:0.287 Accuracy:0.938
Epoch:2 Train Batch:1630  Loss:0.963 Accuracy:0.812
Epoch:2 Train Batch:1640  Loss:0.259 Accuracy:0.938
Epoch:2 Train Batch:1650  Loss:0.196 Accuracy:0.938
Epoch:2 Train Batch:1660  Loss:0.255 Accuracy:0.875
Epoch:2 Train Batch:1670  Loss:0.210 Accuracy:0.938
Epoch:2 Train Batch:1680  Loss:0.517 Accuracy:0.875
Epoch:2 Train Batch:1690  Loss:0.441 Accuracy:0.875
Epoch:2 Train Batch:1700  Loss:0.238 Accuracy:0.938
Epoch:2 Train Batch:1710  Loss:0.046 Accuracy:1.000
Epoch:2 Train Batch:1720  Loss:0.017 Accuracy:1.000
Epoch:2 Train Batch:1730  Loss:0.125 Accuracy:1.000
Epoch:2 Train Batch:1740  Loss:0.003 Accuracy:1.000
Epoch:2 Train Batch:1750  Loss:0.159 Accuracy:0.938
Epoch:2 Train Batch:1760  Loss:0.401 Accuracy:0.875
Epoch:2 Train Batch:1770  Loss:0.382 Accuracy:0.875
Epoch:2 Train Batch:1780  Loss:0.248 Accuracy:1.000
Epoch:2 Train Batch:1790  Loss:0.055 Accuracy:1.000
Epoch:2 Train Batch:1800  Loss:0.211 Accuracy:0.875
Epoch:2 Train Batch:1810  Loss:0.041 Accuracy:1.000
